id,disease,symptoms,herbs_used,precautions,prevention,preparation
1290,Dehydration,"anxiety, back pain, dizziness, fever, vomiting","Guduchi, Tulsi","Avoid alcohol, Do not overexert, Maintain hydration","Regular exercise, Seasonal immunity support","Using Guduchi, Tulsi, Boil herbs in water, strain well, and drink fresh for symptom relief."
1448,Rheumatoid Arthritis,"back pain, body ache, frequent urination","Arjuna, Brahmi, Pippali","Do not overexert, Maintain hydration","Adequate sleep routine, Herbal immune boosters","Using Arjuna, Brahmi, Pippali, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
3200,Bronchitis,"body ache, joint pain, sore throat","Arjuna, Brahmi","Avoid cold food, Avoid oily food","Herbal immune boosters, Regular exercise, Stress management","Using Arjuna, Brahmi, Boil herbs in water, strain well, and drink fresh for symptom relief."
1944,Diarrheal Disorder,"anxiety, chest discomfort, constipation, dry cough, low energy, vomiting","Guduchi, Haritaki, Manjistha, Punarnava","Avoid cold food, Ensure adequate sleep, Maintain hydration","Adequate sleep routine, Herbal immune boosters, Regular exercise","Using Guduchi, Haritaki, Manjistha, Punarnava, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
3184,Cervical Spondylosis,"dizziness, dry cough, fever, itching, nausea","Brahmi, Gokshura, Shatavari","Avoid alcohol, Avoid cold food","Daily yoga practice, Seasonal immunity support","Using Brahmi, Gokshura, Shatavari, Boil herbs in water, strain well, and drink fresh for symptom relief."
3217,Rheumatoid Arthritis,"back pain, shortness of breath, skin rash","Bibhitaki, Haritaki","Avoid alcohol, Avoid spicy food, Light and warm diet","Daily yoga practice, Herbal immune boosters","Using Bibhitaki, Haritaki, Boil herbs in water, strain well, and drink fresh for symptom relief."
3137,Loss of Appetite,"abdominal pain, back pain, fever, itching, muscle pain, nausea","Neem, Tulsi","Avoid stress, Maintain hydration","Regular exercise, Seasonal immunity support","Using Neem, Tulsi, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
3319,Seasonal Fever,"chest discomfort, constipation, frequent urination, insomnia, shortness of breath, skin rash","Arjuna, Bibhitaki","Avoid cold food, Avoid stress","Daily yoga practice, Herbal immune boosters, Seasonal immunity support","Using Arjuna, Bibhitaki, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
2783,Acid Reflux,"constipation, frequent urination, headache, itching, low energy","Ashwagandha, Bibhitaki, Shatavari","Avoid alcohol, Avoid oily food, Avoid spicy food","Daily yoga practice, Seasonal immunity support","Using Ashwagandha, Bibhitaki, Shatavari, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
991,Irritable Bowel Syndrome,"diarrhea, low energy, nausea, shortness of breath","Bibhitaki, Shatavari, Turmeric","Avoid stress, Light and warm diet","Herbal immune boosters, Regular exercise, Seasonal immunity support","Using Bibhitaki, Shatavari, Turmeric, Make a light decoction from the herbs and consume warm, preferably after food."
4921,Gastritis,"back pain, chest discomfort, nausea, productive cough","Amla, Gokshura, Shatavari","Avoid oily food, Ensure adequate sleep","Adequate sleep routine, Herbal immune boosters","Using Amla, Gokshura, Shatavari, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
2154,Osteoarthritis,"anxiety, back pain, burning sensation, chest discomfort, diarrhea, skin rash","Guduchi, Haritaki","Avoid spicy food, Ensure adequate sleep","Adequate sleep routine, Seasonal immunity support","Using Guduchi, Haritaki, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
226,Vertigo,"anxiety, dizziness, headache, insomnia","Neem, Shatavari, Tulsi, Turmeric","Avoid oily food, Do not overexert","Balanced diet, Daily yoga practice, Seasonal immunity support","Using Neem, Shatavari, Tulsi, Turmeric, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
777,Fungal Skin Infection,"anxiety, burning sensation, shortness of breath","Amla, Gokshura, Haritaki, Neem","Avoid oily food, Avoid spicy food, Do not overexert","Daily yoga practice, Regular exercise, Stress management","Using Amla, Gokshura, Haritaki, Neem, Make a light decoction from the herbs and consume warm, preferably after food."
2838,Gastritis,"burning sensation, chest discomfort, fever, insomnia, loss of appetite, productive cough","Amla, Bibhitaki, Punarnava, Turmeric","Avoid stress, Do not overexert, Ensure adequate sleep","Balanced diet, Regular exercise","Using Amla, Bibhitaki, Punarnava, Turmeric, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
688,Allergic Rhinitis,"back pain, diarrhea, dry cough, headache, nausea, productive cough","Ginger, Shatavari, Turmeric","Avoid oily food, Avoid stress","Adequate sleep routine, Balanced diet, Stress management","Using Ginger, Shatavari, Turmeric, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
530,Skin Allergy,"anxiety, constipation, headache, sore throat","Arjuna, Brahmi, Ginger, Manjistha","Avoid spicy food, Avoid stress, Maintain hydration","Herbal immune boosters, Seasonal immunity support, Stress management","Using Arjuna, Brahmi, Ginger, Manjistha, Make a light decoction from the herbs and consume warm, preferably after food."
3443,Vitamin B12 Deficiency,"abdominal pain, constipation, frequent urination, insomnia, itching","Amla, Manjistha, Neem, Punarnava","Avoid cold food, Avoid oily food, Maintain hydration","Adequate sleep routine, Daily yoga practice, Regular exercise","Using Amla, Manjistha, Neem, Punarnava, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
2154,Osteoarthritis,"anxiety, back pain, burning sensation, chest discomfort, diarrhea, skin rash","Guduchi, Haritaki","Avoid spicy food, Ensure adequate sleep","Adequate sleep routine, Seasonal immunity support","Using Guduchi, Haritaki, Make a light decoction from the herbs and consume warm, preferably after food."
1295,Diarrheal Disorder,"dry cough, fever, shortness of breath","Arjuna, Manjistha, Punarnava","Avoid spicy food, Light and warm diet","Herbal immune boosters, Regular exercise","Using Arjuna, Manjistha, Punarnava, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
1527,Ear Infection (Mild),"body ache, burning sensation, insomnia, low energy, vomiting","Ashwagandha, Pippali, Punarnava, Shatavari","Avoid alcohol, Avoid stress","Adequate sleep routine, Regular exercise","Using Ashwagandha, Pippali, Punarnava, Shatavari, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
4775,Mild Asthma,"abdominal pain, anxiety, body ache, itching","Guduchi, Tulsi","Avoid cold food, Avoid oily food, Do not overexert","Daily yoga practice, Herbal immune boosters, Seasonal immunity support","Using Guduchi, Tulsi, Make a light decoction from the herbs and consume warm, preferably after food."
2897,Urinary Tract Infection,"chest discomfort, diarrhea, low energy, shortness of breath","Guduchi, Punarnava, Shatavari","Avoid cold food, Ensure adequate sleep, Maintain hydration","Herbal immune boosters, Regular exercise, Seasonal immunity support","Using Guduchi, Punarnava, Shatavari, Boil herbs in water, strain well, and drink fresh for symptom relief."
3104,Common Cold,"body ache, chest discomfort, fever, productive cough","Pippali, Turmeric","Avoid oily food, Light and warm diet, Maintain hydration","Daily yoga practice, Seasonal immunity support","Using Pippali, Turmeric, Make a light decoction from the herbs and consume warm, preferably after food."
2441,Mild Asthma,"fever, headache, insomnia, loss of appetite, skin rash","Gokshura, Tulsi","Light and warm diet, Maintain hydration","Adequate sleep routine, Balanced diet, Stress management","Using Gokshura, Tulsi, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
4136,Sinusitis,"chest discomfort, fatigue, fever, frequent urination, joint pain","Manjistha, Punarnava, Tulsi","Ensure adequate sleep, Light and warm diet, Maintain hydration","Balanced diet, Daily yoga practice","Using Manjistha, Punarnava, Tulsi, Boil herbs in water, strain well, and drink fresh for symptom relief."
3803,Joint Inflammation,"back pain, diarrhea, loss of appetite, productive cough","Arjuna, Manjistha","Avoid oily food, Avoid spicy food, Light and warm diet","Balanced diet, Regular exercise","Using Arjuna, Manjistha, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
845,Dehydration,"anxiety, chest discomfort, fatigue, loss of appetite","Arjuna, Ashwagandha, Gokshura, Turmeric","Avoid cold food, Do not overexert, Maintain hydration","Balanced diet, Stress management","Using Arjuna, Ashwagandha, Gokshura, Turmeric, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
447,Eczema,"diarrhea, fever, joint pain, sore throat","Neem, Pippali, Punarnava, Turmeric","Avoid alcohol, Ensure adequate sleep, Maintain hydration","Balanced diet, Daily yoga practice, Seasonal immunity support","Using Neem, Pippali, Punarnava, Turmeric, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
3916,Anemia,"burning sensation, headache, insomnia, nausea, skin rash","Gokshura, Manjistha, Pippali, Punarnava","Avoid alcohol, Avoid spicy food, Ensure adequate sleep","Daily yoga practice, Stress management","Using Gokshura, Manjistha, Pippali, Punarnava, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
3110,Cervical Spondylosis,"dry cough, itching, low energy, muscle pain","Ashwagandha, Pippali, Shatavari","Avoid alcohol, Avoid stress, Do not overexert","Balanced diet, Stress management","Using Ashwagandha, Pippali, Shatavari, Boil herbs in water, strain well, and drink fresh for symptom relief."
1235,Joint Inflammation,"abdominal pain, chest discomfort, dry cough, frequent urination, headache, itching","Ginger, Neem, Turmeric","Avoid cold food, Avoid oily food, Light and warm diet","Adequate sleep routine, Seasonal immunity support","Using Ginger, Neem, Turmeric, Boil herbs in water, strain well, and drink fresh for symptom relief."
227,Bacterial Fever,"back pain, low energy, muscle pain, productive cough, shortness of breath, sore throat","Bibhitaki, Brahmi, Pippali","Avoid stress, Do not overexert","Balanced diet, Stress management","Using Bibhitaki, Brahmi, Pippali, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
4144,Constipation Disorder,"burning sensation, constipation, fever, joint pain, productive cough","Ginger, Gokshura, Guduchi, Pippali","Avoid oily food, Ensure adequate sleep, Maintain hydration","Regular exercise, Stress management","Using Ginger, Gokshura, Guduchi, Pippali, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
2960,Rheumatoid Arthritis,"fatigue, frequent urination, joint pain, low energy, productive cough, shortness of breath","Ashwagandha, Ginger, Pippali, Punarnava","Do not overexert, Light and warm diet","Adequate sleep routine, Balanced diet, Daily yoga practice","Using Ashwagandha, Ginger, Pippali, Punarnava, Make a light decoction from the herbs and consume warm, preferably after food."
1831,Food Poisoning,"anxiety, body ache, diarrhea, headache, joint pain, shortness of breath","Gokshura, Manjistha, Pippali","Ensure adequate sleep, Maintain hydration","Regular exercise, Stress management","Using Gokshura, Manjistha, Pippali, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
3780,Diarrheal Disorder,"fatigue, fever, itching, loss of appetite","Gokshura, Punarnava","Avoid spicy food, Ensure adequate sleep, Maintain hydration","Balanced diet, Daily yoga practice","Using Gokshura, Punarnava, Boil herbs in water, strain well, and drink fresh for symptom relief."
187,Tension Headache,"constipation, loss of appetite, sore throat","Gokshura, Manjistha","Do not overexert, Light and warm diet","Adequate sleep routine, Herbal immune boosters, Seasonal immunity support","Using Gokshura, Manjistha, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
2878,Productive Cough,"burning sensation, chest discomfort, diarrhea","Gokshura, Neem, Turmeric","Avoid alcohol, Avoid spicy food","Daily yoga practice, Seasonal immunity support","Using Gokshura, Neem, Turmeric, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
2536,Mild Asthma,"chest discomfort, dry cough, insomnia, sore throat","Ashwagandha, Turmeric","Avoid cold food, Ensure adequate sleep, Light and warm diet","Adequate sleep routine, Daily yoga practice, Stress management","Using Ashwagandha, Turmeric, Make a light decoction from the herbs and consume warm, preferably after food."
1933,Tension Headache,"constipation, headache, itching, joint pain, skin rash, vomiting","Amla, Manjistha, Shatavari, Turmeric","Avoid spicy food, Do not overexert","Herbal immune boosters, Seasonal immunity support","Using Amla, Manjistha, Shatavari, Turmeric, Boil herbs in water, strain well, and drink fresh for symptom relief."
2925,Stress-Induced Insomnia,"diarrhea, fever, insomnia, itching, muscle pain","Arjuna, Bibhitaki, Tulsi","Avoid alcohol, Avoid spicy food, Avoid stress","Adequate sleep routine, Herbal immune boosters, Regular exercise","Using Arjuna, Bibhitaki, Tulsi, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
849,Fungal Skin Infection,"abdominal pain, anxiety, back pain, diarrhea, sore throat","Ashwagandha, Ginger, Tulsi","Avoid spicy food, Ensure adequate sleep","Balanced diet, Daily yoga practice, Herbal immune boosters","Using Ashwagandha, Ginger, Tulsi, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
2033,Skin Allergy,"diarrhea, insomnia, shortness of breath","Guduchi, Pippali, Shatavari","Avoid oily food, Do not overexert, Ensure adequate sleep","Daily yoga practice, Stress management","Using Guduchi, Pippali, Shatavari, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
1253,Psoriasis,"dry cough, insomnia, sore throat","Brahmi, Ginger, Guduchi","Avoid alcohol, Avoid spicy food, Avoid stress","Daily yoga practice, Herbal immune boosters, Seasonal immunity support","Using Brahmi, Ginger, Guduchi, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
1882,Early Hypotension,"loss of appetite, nausea, shortness of breath, vomiting","Amla, Brahmi, Pippali","Avoid spicy food, Ensure adequate sleep, Maintain hydration","Adequate sleep routine, Stress management","Using Amla, Brahmi, Pippali, Boil herbs in water, strain well, and drink fresh for symptom relief."
270,Acid Reflux,"anxiety, body ache, burning sensation, dry cough","Bibhitaki, Brahmi, Manjistha, Turmeric","Ensure adequate sleep, Maintain hydration","Daily yoga practice, Regular exercise, Stress management","Using Bibhitaki, Brahmi, Manjistha, Turmeric, Boil herbs in water, strain well, and drink fresh for symptom relief."
1631,Dry Eye Syndrome,"back pain, diarrhea, frequent urination, headache, insomnia, loss of appetite","Arjuna, Tulsi","Avoid spicy food, Ensure adequate sleep, Maintain hydration","Adequate sleep routine, Regular exercise","Using Arjuna, Tulsi, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
4406,Vitamin D Deficiency,"back pain, constipation, loss of appetite, skin rash","Bibhitaki, Haritaki","Avoid oily food, Avoid stress, Ensure adequate sleep","Regular exercise, Seasonal immunity support","Using Bibhitaki, Haritaki, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
3204,Viral Fever,"anxiety, dizziness, low energy, muscle pain","Pippali, Punarnava","Avoid oily food, Maintain hydration","Adequate sleep routine, Daily yoga practice","Using Pippali, Punarnava, Make a light decoction from the herbs and consume warm, preferably after food."
1575,Osteoarthritis,"chest discomfort, dizziness, dry cough, fever, insomnia, low energy","Guduchi, Shatavari, Turmeric","Avoid cold food, Avoid stress, Light and warm diet","Adequate sleep routine, Daily yoga practice, Seasonal immunity support","Using Guduchi, Shatavari, Turmeric, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
2893,Dry Cough,"abdominal pain, burning sensation, frequent urination, insomnia, loss of appetite, skin rash","Amla, Brahmi, Shatavari, Tulsi","Avoid spicy food, Avoid stress, Maintain hydration","Adequate sleep routine, Balanced diet","Using Amla, Brahmi, Shatavari, Tulsi, Boil herbs in water, strain well, and drink fresh for symptom relief."
1696,Allergic Rhinitis,"abdominal pain, frequent urination, joint pain","Arjuna, Bibhitaki","Avoid alcohol, Avoid cold food, Avoid oily food","Daily yoga practice, Herbal immune boosters","Using Arjuna, Bibhitaki, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
3259,Allergic Rhinitis,"anxiety, dizziness, headache, loss of appetite, low energy","Guduchi, Haritaki, Manjistha, Shatavari","Avoid alcohol, Avoid spicy food, Do not overexert","Adequate sleep routine, Balanced diet, Daily yoga practice","Using Guduchi, Haritaki, Manjistha, Shatavari, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
3263,Constipation Disorder,"back pain, chest discomfort, headache, itching, skin rash","Brahmi, Gokshura","Avoid stress, Maintain hydration","Adequate sleep routine, Balanced diet, Herbal immune boosters","Using Brahmi, Gokshura, Boil herbs in water, strain well, and drink fresh for symptom relief."
1446,Kidney Stone Disorder,"dry cough, fatigue, itching, loss of appetite, productive cough, shortness of breath","Ashwagandha, Ginger, Manjistha, Tulsi","Avoid stress, Ensure adequate sleep, Light and warm diet","Daily yoga practice, Herbal immune boosters, Seasonal immunity support","Using Ashwagandha, Ginger, Manjistha, Tulsi, Boil herbs in water, strain well, and drink fresh for symptom relief."
220,Gastritis,"anxiety, loss of appetite, vomiting","Amla, Arjuna, Ginger, Guduchi","Avoid alcohol, Avoid oily food, Avoid spicy food","Adequate sleep routine, Daily yoga practice","Using Amla, Arjuna, Ginger, Guduchi, Boil herbs in water, strain well, and drink fresh for symptom relief."
53,Acid Reflux,"fever, muscle pain, productive cough","Neem, Punarnava, Tulsi","Light and warm diet, Maintain hydration","Balanced diet, Regular exercise, Seasonal immunity support","Using Neem, Punarnava, Tulsi, Boil herbs in water, strain well, and drink fresh for symptom relief."
1758,Anxiety Disorder (Mild),"dizziness, dry cough, fever, low energy, productive cough, shortness of breath","Amla, Turmeric","Avoid alcohol, Do not overexert","Adequate sleep routine, Balanced diet, Daily yoga practice","Using Amla, Turmeric, Boil herbs in water, strain well, and drink fresh for symptom relief."
1667,Diarrheal Disorder,"abdominal pain, anxiety, chest discomfort, insomnia, productive cough","Amla, Gokshura, Punarnava, Tulsi","Avoid cold food, Do not overexert, Ensure adequate sleep","Adequate sleep routine, Seasonal immunity support, Stress management","Using Amla, Gokshura, Punarnava, Tulsi, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
2786,Fungal Skin Infection,"anxiety, loss of appetite, low energy, productive cough, shortness of breath","Shatavari, Tulsi, Turmeric","Do not overexert, Light and warm diet","Balanced diet, Herbal immune boosters","Using Shatavari, Tulsi, Turmeric, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
720,Diarrheal Disorder,"abdominal pain, back pain, loss of appetite","Amla, Ashwagandha, Brahmi, Haritaki","Avoid oily food, Light and warm diet","Balanced diet, Herbal immune boosters, Regular exercise","Using Amla, Ashwagandha, Brahmi, Haritaki, Boil herbs in water, strain well, and drink fresh for symptom relief."
406,Hypothyroidism (Mild),"abdominal pain, burning sensation, fever, frequent urination, low energy","Ashwagandha, Brahmi, Punarnava","Light and warm diet, Maintain hydration","Adequate sleep routine, Daily yoga practice","Using Ashwagandha, Brahmi, Punarnava, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
2295,Indigestion,"burning sensation, frequent urination, headache, nausea","Arjuna, Gokshura, Guduchi, Punarnava","Do not overexert, Ensure adequate sleep, Light and warm diet","Adequate sleep routine, Daily yoga practice","Using Arjuna, Gokshura, Guduchi, Punarnava, Make a light decoction from the herbs and consume warm, preferably after food."
72,Peptic Ulcer,"chest discomfort, constipation, frequent urination, skin rash","Ashwagandha, Brahmi, Manjistha, Neem","Avoid spicy food, Ensure adequate sleep, Maintain hydration","Balanced diet, Stress management","Using Ashwagandha, Brahmi, Manjistha, Neem, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
2054,Vitamin B12 Deficiency,"diarrhea, headache, joint pain, productive cough","Arjuna, Ginger, Haritaki","Avoid oily food, Light and warm diet, Maintain hydration","Herbal immune boosters, Regular exercise","Using Arjuna, Ginger, Haritaki, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
1230,Mild Hypertension,"anxiety, back pain, burning sensation, constipation","Amla, Gokshura, Haritaki, Manjistha","Avoid oily food, Do not overexert, Light and warm diet","Balanced diet, Seasonal immunity support, Stress management","Using Amla, Gokshura, Haritaki, Manjistha, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
1568,Vitamin B12 Deficiency,"abdominal pain, back pain, frequent urination, itching, nausea, productive cough","Brahmi, Gokshura, Haritaki, Pippali","Avoid cold food, Avoid spicy food, Ensure adequate sleep","Daily yoga practice, Herbal immune boosters, Seasonal immunity support","Using Brahmi, Gokshura, Haritaki, Pippali, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
3683,Sinusitis,"fever, muscle pain, sore throat","Amla, Ginger, Shatavari","Avoid stress, Ensure adequate sleep, Maintain hydration","Regular exercise, Stress management","Using Amla, Ginger, Shatavari, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
2954,Dehydration,"abdominal pain, diarrhea, fatigue, headache, loss of appetite, low energy","Ashwagandha, Brahmi, Pippali","Avoid alcohol, Do not overexert, Ensure adequate sleep","Adequate sleep routine, Herbal immune boosters","Using Ashwagandha, Brahmi, Pippali, Make a light decoction from the herbs and consume warm, preferably after food."
4483,Productive Cough,"back pain, dry cough, low energy, nausea","Gokshura, Pippali","Avoid stress, Ensure adequate sleep, Light and warm diet","Herbal immune boosters, Regular exercise","Using Gokshura, Pippali, Boil herbs in water, strain well, and drink fresh for symptom relief."
699,Tinnitus (Early Stage),"anxiety, fatigue, fever, low energy, productive cough, vomiting","Arjuna, Neem","Avoid alcohol, Avoid spicy food, Light and warm diet","Adequate sleep routine, Stress management","Using Arjuna, Neem, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
827,Irritable Bowel Syndrome,"chest discomfort, frequent urination, insomnia, low energy, skin rash","Arjuna, Ashwagandha, Brahmi","Do not overexert, Maintain hydration","Balanced diet, Daily yoga practice, Seasonal immunity support","Using Arjuna, Ashwagandha, Brahmi, Make a light decoction from the herbs and consume warm, preferably after food."
349,Food Poisoning,"dry cough, headache, itching, low energy, nausea","Arjuna, Turmeric","Avoid alcohol, Avoid stress, Ensure adequate sleep","Adequate sleep routine, Seasonal immunity support","Using Arjuna, Turmeric, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
3909,Stress-Induced Insomnia,"fatigue, itching, skin rash","Amla, Tulsi","Avoid alcohol, Avoid oily food, Do not overexert","Daily yoga practice, Herbal immune boosters, Regular exercise","Using Amla, Tulsi, Boil herbs in water, strain well, and drink fresh for symptom relief."
308,Diarrheal Disorder,"burning sensation, dry cough, fatigue, headache, low energy","Ginger, Pippali, Punarnava","Avoid alcohol, Avoid stress","Adequate sleep routine, Balanced diet, Regular exercise","Using Ginger, Pippali, Punarnava, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
3417,Irritable Bowel Syndrome,"anxiety, fatigue, frequent urination","Ashwagandha, Gokshura, Punarnava","Avoid stress, Light and warm diet","Adequate sleep routine, Daily yoga practice, Herbal immune boosters","Using Ashwagandha, Gokshura, Punarnava, Boil herbs in water, strain well, and drink fresh for symptom relief."
2335,Urinary Tract Infection,"fever, itching, low energy, muscle pain, nausea","Guduchi, Haritaki, Shatavari, Turmeric","Avoid cold food, Avoid oily food, Avoid spicy food","Adequate sleep routine, Balanced diet, Herbal immune boosters","Using Guduchi, Haritaki, Shatavari, Turmeric, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
4862,Vitamin B12 Deficiency,"abdominal pain, back pain, chest discomfort, headache, low energy","Haritaki, Manjistha, Pippali","Avoid spicy food, Do not overexert","Regular exercise, Seasonal immunity support","Using Haritaki, Manjistha, Pippali, Boil herbs in water, strain well, and drink fresh for symptom relief."
4821,Common Cold,"loss of appetite, nausea, shortness of breath","Arjuna, Ashwagandha, Guduchi, Neem","Ensure adequate sleep, Light and warm diet","Balanced diet, Seasonal immunity support","Using Arjuna, Ashwagandha, Guduchi, Neem, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
2810,Ear Infection (Mild),"abdominal pain, body ache, itching, low energy","Ginger, Guduchi","Avoid oily food, Avoid stress","Balanced diet, Regular exercise, Stress management","Using Ginger, Guduchi, Make a light decoction from the herbs and consume warm, preferably after food."
3559,Bacterial Skin Infection,"body ache, dry cough, fever","Amla, Arjuna, Gokshura, Turmeric","Avoid cold food, Do not overexert, Light and warm diet","Balanced diet, Herbal immune boosters","Using Amla, Arjuna, Gokshura, Turmeric, Boil herbs in water, strain well, and drink fresh for symptom relief."
4479,Dry Cough,"burning sensation, dizziness, frequent urination, headache","Bibhitaki, Brahmi","Avoid cold food, Avoid stress, Do not overexert","Balanced diet, Regular exercise, Seasonal immunity support","Using Bibhitaki, Brahmi, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
3478,Thyroid Imbalance,"abdominal pain, back pain, constipation, sore throat","Amla, Bibhitaki, Brahmi, Haritaki","Avoid alcohol, Ensure adequate sleep, Maintain hydration","Regular exercise, Seasonal immunity support","Using Amla, Bibhitaki, Brahmi, Haritaki, Boil herbs in water, strain well, and drink fresh for symptom relief."
4621,Heat Exhaustion,"abdominal pain, burning sensation, diarrhea, joint pain, shortness of breath","Amla, Pippali, Shatavari","Avoid stress, Do not overexert","Seasonal immunity support, Stress management","Using Amla, Pippali, Shatavari, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
2687,Viral Fever,"body ache, dry cough, fatigue, insomnia","Arjuna, Bibhitaki, Shatavari","Avoid alcohol, Light and warm diet, Maintain hydration","Daily yoga practice, Herbal immune boosters, Seasonal immunity support","Using Arjuna, Bibhitaki, Shatavari, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
2986,Eczema,"back pain, chest discomfort, fatigue, skin rash","Amla, Gokshura, Neem, Tulsi","Avoid cold food, Avoid oily food, Maintain hydration","Daily yoga practice, Stress management","Using Amla, Gokshura, Neem, Tulsi, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
276,Acid Reflux,"chest discomfort, low energy, muscle pain","Arjuna, Tulsi","Avoid oily food, Light and warm diet, Maintain hydration","Adequate sleep routine, Daily yoga practice","Using Arjuna, Tulsi, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
2548,Psoriasis,"abdominal pain, burning sensation, dry cough, productive cough","Bibhitaki, Shatavari, Turmeric","Do not overexert, Maintain hydration","Adequate sleep routine, Daily yoga practice, Regular exercise","Using Bibhitaki, Shatavari, Turmeric, Boil herbs in water, strain well, and drink fresh for symptom relief."
2765,Dry Eye Syndrome,"fatigue, fever, insomnia, skin rash","Amla, Arjuna, Gokshura, Tulsi","Avoid alcohol, Maintain hydration","Adequate sleep routine, Seasonal immunity support, Stress management","Using Amla, Arjuna, Gokshura, Tulsi, Make a light decoction from the herbs and consume warm, preferably after food."
337,Eczema,"anxiety, burning sensation, diarrhea","Guduchi, Haritaki, Tulsi, Turmeric","Avoid oily food, Light and warm diet","Regular exercise, Stress management","Using Guduchi, Haritaki, Tulsi, Turmeric, Boil herbs in water, strain well, and drink fresh for symptom relief."
1974,Indigestion,"body ache, muscle pain, sore throat","Bibhitaki, Gokshura","Avoid cold food, Do not overexert, Light and warm diet","Daily yoga practice, Herbal immune boosters, Stress management","Using Bibhitaki, Gokshura, Boil herbs in water, strain well, and drink fresh for symptom relief."
2980,Bacterial Skin Infection,"itching, productive cough, vomiting","Amla, Ginger, Manjistha","Avoid stress, Do not overexert, Maintain hydration","Herbal immune boosters, Regular exercise, Seasonal immunity support","Using Amla, Ginger, Manjistha, Make a light decoction from the herbs and consume warm, preferably after food."
4577,Eczema,"abdominal pain, chest discomfort, productive cough, sore throat","Brahmi, Guduchi","Avoid cold food, Ensure adequate sleep","Balanced diet, Daily yoga practice","Using Brahmi, Guduchi, Make a light decoction from the herbs and consume warm, preferably after food."
3969,Fungal Skin Infection,"abdominal pain, anxiety, fever, insomnia, shortness of breath","Amla, Shatavari, Tulsi","Avoid alcohol, Avoid oily food, Avoid stress","Daily yoga practice, Seasonal immunity support","Using Amla, Shatavari, Tulsi, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
911,Generalized Fatigue Syndrome,"abdominal pain, frequent urination, productive cough","Gokshura, Manjistha","Avoid alcohol, Avoid spicy food, Light and warm diet","Daily yoga practice, Stress management","Using Gokshura, Manjistha, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
